A,B,result
Boundary value problem,Nonlinear system,1
Reinforcement learning,Graph theory,1
Lisp (programming language),Linked list,0
Analysis of algorithms,Discrete mathematics,1
Statistical inference,Data,1
Scripting language,Computability,1
Computer security,Discrete mathematics,1
Program analysis,Concurrent computing,0
Procedural programming,Random graph,0
Formal grammar,Data (computing),1
Functional programming,Martingale (probability theory),0
Ray tracing (graphics),Shading,1
Object-oriented programming,Programming language,1
Approximation algorithm,Iterative method,1
Mathematical optimization,Variable (computer science),0
Transaction processing,Graphical user interface,0
Semantics of programming languages,Routing,0
Operating system,Uncertainty,0
Traffic analysis,Random variable,0
Document classification,PageRank,0
Prediction,Computability,0
Knowledge representation and reasoning,Software development,0
PSPACE,Complexity,1
Interaction design,Finite-state machine,0
Traffic analysis,Graphical model,0
Data type,Hidden Markov model,0
Finite set,Object-oriented programming,0
C (programming language),ML (programming language),0
Pattern matching,Graphical model,0
Message Passing Interface,Generic programming,0
Signal processing,Uncertainty,1
Finite difference,Matrix (mathematics),1
Turing machine,Image,0
Mechanical engineering,Multi-core processor,0
Fast Fourier transform,Integer,1
Time complexity,Combinatorics,1
Machine learning,Analysis of algorithms,1
Algorithm,Kinematics,0
Rendering (computer graphics),Arithmetic,1
Number theory,Computational learning theory,0
Nonlinear system,Shared memory,0
Iterative method,Document classification,0
Signal processing,Unsupervised learning,0
Graphical user interface,Computer science,1
Large deviations theory,Random variable,1
Data mining,Computer programming,1
Artificial intelligence,Logic,1
Security,Information theory,0
Unix,Digital electronics,1
Complexity,Computing,1
Wavelet,Lazy evaluation,0
Firewall (computing),Wavelet,0
Automated planning and scheduling,Computer programming,1
Recursion (computer science),Theoretical computer science,1
Propositional calculus,Logic,1
Central processing unit,Mutual exclusion,0
Graph theory,Computer vision,0
Computational complexity theory,Computability,1
P versus NP problem,NP-complete,0
Query language,PageRank,0
Lexical analysis,Automata theory,1
Randomness,Foundations of mathematics,1
Database management system,Concurrent computing,0
Amortized analysis,Data type,1
Programming paradigm,Software development,0
Computer science,Vector processor,0
Pattern recognition,Graph theory,1
Computability,Mathematical proof,0
Variable (computer science),Semidefinite programming,0
Exponential family,Monte Carlo method,0
Pattern recognition,Dynamic programming,0
Variable (computer science),Computing,1
Lisp (programming language),Computer graphics,0
Message passing,Virtual memory,0
Partial differential equation,Least squares,0
Formal methods,Computation,1
Programming style,Memory hierarchy,0
Data mining,Logic,1
Image analysis,Dynamic programming,0
Support vector machine,Logic,1
Database management system,Mathematics,1
Kalman filter,Encryption,0
Time complexity,Computational problem,1
NP-complete,Polynomial,1
Geometric modeling,Computer science,1
Recurrence relation,Divide and conquer algorithm,0
Question answering,Modular programming,0
Program optimization,Firewall (computing),0
Scalability,Computer,0
Pattern recognition,Foundations of mathematics,1
Model of computation,Computational problem,1
Database system,Combinational logic,0
Computational chemistry,Abstraction (computer science),1
Cryptography,Theory of computation,1
Cache coherence,Distributed algorithms,0
Computer software,Operating system,1
Abstraction (computer science),Logic,1
Game theory,Uncertainty,0
Computer vision,Numerical analysis,1
Packet switching,Database management system,0
Compiler optimization,Decision theory,0
Database management system,Number theory,1
Software framework,Gradient descent,0
Multi-core processor,Thread (computer science),1
Automatic programming,Arithmetic,1
Image processing,Expected value,0
Artificial intelligence,Theoretical computer science,1
Machine translation,Computation,1
Data type,Polymorphism (computer science),0
JavaScript,Software development,0
Question answering,Expert system,1
Nonlinear system,Modular arithmetic,0
Regular expression,Cache coherence,0
Python (programming language),Computer,1
Gradient descent,Mathematical optimization,1
Recommender system,Divide and conquer algorithm,0
Concurrency (computer science),Foundations of mathematics,1
Geometric modeling,Computer graphics,1
Bioinformatics,Discrete mathematics,1
Concurrency (computer science),Differential equation,0
Recursion,Combinatorics,1
Data structure,Data (computing),1
Memory management,Pattern matching,0
Recursion,Computer,1
Bioinformatics,Graph theory,1
Database normalization,Malware,0
Question answering,Artificial intelligence,1
Digital signature,Iterative method,1
Polymorphism (computer science),Abstract data type,1
Debugging,Turing machine,0
Digital signature,Discrete mathematics,1
Computer network,Graph (mathematics),1
Bioinformatics,Amortized analysis,0
Public-key cryptography,Interactivity,0
C++,High-level programming language,1
Game theory,Tensor,0
Functional programming,Graph theory,1
Quantum computer,Software design,0
Abstraction (computer science),Artificial intelligence,0
Pattern recognition,Finite set,0
Security,Database,0
Graphics,Semantics of programming languages,0
Bayesian,Random variable,1
Divide and conquer algorithm,Recursion,1
Compiler,String (computer science),1
Scientific modelling,Authentication,0
Computational chemistry,Mathematical induction,1
Problem solving,Security,0
Automated planning and scheduling,Linear system,0
Scripting language,Scripting language,0
Linear programming,Computation,1
Recursion,Abstraction (computer science),1
Floating point,Software development,0
Interaction design,Image,0
Multi-core processor,Computer,1
Analysis of algorithms,Theory of computation,1
Prolog,Communication,0
Computational learning theory,Uncertainty,1
Suffix tree,Microprocessor,0
Graph (mathematics),Computer,0
NP-complete,Complexity,1
Motion planning,Kinematics,1
Hash table,Shared memory,0
String searching algorithm,Graph theory,1
Recursion,Discrete mathematics,1
Java (programming language),Scope (computer science),1
Automated planning and scheduling,Semantics,0
Atomicity (database systems),Data (computing),1
User interface,Model of computation,0
Undecidable problem,Computability,1
Unix,Arithmetic,1
Web service,Context-free grammar,0
B-tree,Transaction processing,0
Imperative programming,Control flow,1
C (programming language),Logic,1
Flow network,Computer animation,0
Unsupervised learning,Cryptanalysis,0
Computational chemistry,Semantics,0
Transaction processing,Discrete mathematics,1
Index (database),Computer,1
Lisp (programming language),Logic programming,1
Network security,Mathematics,1
Prediction,Flow network,0
Probability theory,Theory of computation,0
Application programming interface,Logic,1
World Wide Web,Synchronization,0
Data structure,World Wide Web,0
Web service,Computer,1
Randomized algorithm,Abstraction (computer science),1
Design pattern (computer science),Markov chain,0
Mathematical proof,Big data,0
Telecommunications network,Web browser,0
Document classification,Java (programming language),0
String (computer science),Sequence alignment,0
Computer security,Computability,0
Symbol table,Graph theory,1
Haskell (programming language),Functional programming,1
Cryptanalysis,Theoretical computer science,1
Conditional probability,Undecidable problem,0
Introduction to Algorithms,Automata theory,0
Parallel computing,Computer programming,1
String (computer science),Programmer,0
Communications protocol,Discrete mathematics,1
Parallel algorithm,Iterative method,1
Game theory,Large deviations theory,0
Mathematical optimization,Design pattern (computer science),0
Automated theorem proving,Introduction to Algorithms,0
Assembly language,Computer,1
Profiling (computer programming),Logic,1
Public-key cryptography,Formal grammar,0
NP (complexity),Polymorphism (computer science),0
NP (complexity),Algorithm design,1
Transaction processing,Functional programming,0
Database design,Volume rendering,0
3D computer graphics,Database,0
Cluster analysis,Random walk,0
Software engineering,Polynomial,1
Algorithm,Abstraction (computer science),1
Communications protocol,Lock (computer science),0
Application programming interface,Data structure,1
MapReduce,Lock (computer science),1
Randomized algorithm,Discrete mathematics,1
Web server,Computer programming,1
Server (computing),Unsupervised learning,0
Concurrency control,Undecidable problem,0
Message passing,Recursively enumerable set,0
Sequence alignment,Structured programming,0
Arithmetic logic unit,Mathematical induction,0
Undecidable problem,Mathematics,1
Algebra,Stochastic,0
Algorithm design,Polynomial,1
Shading,Formal verification,0
Personal computer,Kernel (computing),0
Memory management,Relational algebra,0
Modular programming,Feature extraction,0
Speech recognition,Pattern matching,0
Graphics,Random graph,0
Variable (computer science),Web server,0
Distributed algorithms,Theoretical computer science,1
Poisson distribution,Algebra,1
Formal verification,Image analysis,0
Program optimization,Computational complexity theory,0
Compiler optimization,Syntax,1
Mobile device,Turing machine,0
Programming language,Logic,1
Question answering,Computer science,1
Personal computer,Security,0
Program optimization,Problem solving,1
OSI model,Communications protocol,1
Recursively enumerable set,Computing,1
Algorithm design,Interpolation,0
MATLAB,Computer programming,1
Conditional probability,Graph (mathematics),0
Computer vision,Foundations of mathematics,1
System programming,Suffix tree,0
Machine translation,Computational complexity theory,1
Dynamic programming,Graph theory,1
Autonomous robot,Robotics,1
Routing,Communications protocol,1
Martingale (probability theory),Formal language,0
Pattern matching,Transaction processing,0
Query optimization,Robotics,0
Recursion (computer science),Abstraction (computer science),1
Model of computation,Foundations of mathematics,1
